Jan,Nov
The Blue Door Cafe,Maal Gaadi
The Pavilion - ITC Maurya,Shiv Sagar
Beyond Breads,Burma Burma
Leaping Caravan,Dezertfox
Bunta Bar,Jung Bahadur Kachori Wala
Old Famous Jalebi Wala,Guppy
Bell Pepperz,Bell Pepperz
Carnatic Cafe,Flip Bistro and Pizzeria
Wendy's,The Patiala Kkitchen
The Chocolate Room,Carnatic Cafe
Janpath Grill House,Dao
The Grill Kitchen,Beyond Breads
24/7 Restaurant - The Lalit New Delhi,Chaat Chowk
Whipped,736 A.D.
Biryani Art,The Pasta Bowl Company
Fuji Japanese Restaurant,Cafe 6
World In A Box,MR.D - Deliciousness Delivered
Basil Tree,Khidmat
Spectra - The Leela Ambience,Cafe Parmesan
The Beer Cafe,Kalpak Restaurant & Cafe
Scorpio Cafe,Hwealthcafe
Scooter on the Wall,Sanadige
The Coffee Shop,Love Is Cakes
Khopcha,Mickey's Kitchen
National Highway 44,Fa Yian
Taco Bell,Hops n Brew - The Microbrewery
Secular House Canteen,Diva - The Italian Restaurant
The Tummy Section,FIO Cookhouse and Bar
Vega Pure Vegetarian - Hotel Alka,Hinglish - Cafe Beach Bar
Throttle Shrottle,Flaming Chilli Pepper
In The Punjab,Too Mikkii Tapas
Ambarsari Chowk,Fork with Stick
Imly,The Beer Cafe
Sura Vie,Sakley's The Mountain Cafe
Shawarma House,Box Office Cafe
L'Adresse Kitchen & Bar,La Bodega
Maal Gaadi,The Black Olive Rest 'O' Bar
Singla's,Bohemia
Machan - The Taj Mahal Hotel,Coriander Leaf
Shake Square,La Pino'z Pizza
Brewer Street,Benihana
56 Ristorante Italiano,Open Tap
Moti Mahal,Basil Tree
Maa Tara,China Garden
Lighthouse 13,La Vie
La Vie,Cottage Café by Smoothie factory
Jughead's Fast Food Corner,The Society Cafe
Chungwa,Imly
Subway,Boombox Cafe
Mughlai Express,Lord of the Drinks Forum
Mirch Masala MM Cafe,Boombox Cafe
D'Momo Factory,Mirch Masala MM Cafe
K3 - JW Marriott New Delhi,Lighthouse 13
Rahul Eggs,Piali - The Curry Bistro
Prime Street Cafe,Sanjha Chulha
Mad Monkey,Nikashee
SodaBottleOpenerWala,Purani Dilli's Al Karam Kebab House
Bohemia,Side Wok
Hi Kolkata,Angrezee Choupal
Elf Cafe & Bar,Zizo
Diva - The Italian Restaurant,Tau's Cafe & Lassi Bar
Hutkar Burger and Ice Creams,Desee Dakshin Coastal Cafe
Taco Bell,Singla's
Cinnabon,Maxims Pastry Shop
Foodiee Night,The Toddy Shop
Cherry Comet,Cafe Diva
Harry's Bar + Cafe,Harry's Bar + Cafe
High On Burgers,Indigo Delicatessen
Ki Hangla,Walk In The Woods
Fa Yian,Rodeo
Pema's,The Coffee Shop
Pikwik,Rahul Eggs
The Project,Cooper's Grill & Bar
Doosri Mehfil,The Pink Room
The Black Olive Rest 'O' Bar,Majeed's
Pho King Awesome,Moti Mahal
Yellow Brick Road - Taj Vivanta,The Big Burrp Theory
Cafe 6,Machan - The Taj Mahal Hotel
FO - Food Overloaded,Daawat-e-Kashmir
Nawaab's,Cherry Comet
Madison & Pike,Adyar Ananda Bhavan
Tesoro Mio,Excuse Me Boss
Amour Bistro,High On Burgers
Mystery of Food,Not Just Paranthas
Zoe,Art of Spices
Nathu's Sweets,Keventers
Harry's Bar + Cafe,Brewer Street
Hunger Station,Asia Central
Blue Tokai Coffee Roasters,Pizza Central
