Jan,Nov
Ck Gaming Lounge & Cafe,Muradabadi & Hyderabadi Chicken Biryani
Mohan Chaat Corner,Sahi Pakde Hain
Mayur Baker,Tea & Gossip
Al - Mumtaz Restaurant,The Boardroom Sports Lounge
Sardar Express,Dubkee
Masala Veda,Bake Baklava
Al Kareem,Exotic Cafe
Mother's Kitchen,Cupcakes & More
New Classic Kitchen,Aarti Dhaba
Kwality Walls Swirls,Maharaja Den Grill
Star Vada Pav,They__
The Pizza Bite,Hot Meals
Farm Pizza,Teashot
Let's Cheers,Shahi Muradabadi Chicken Corner
Maheshwari's Food,What's More
Rahul Hotel,Samrat
Ashirwad Restaurant,Rocks - The Bar
Gravys n Currys,Hurry Curry Express
The Backyard Chef,Al Sodi
Devika Restaurant,Panj Tara
Meaty Affair,Harish Phulwari Restaurant
Flavour Of Uttrakhand,Cheers
Movenpick,Locale
Everest Chinese Fast Food,Om Bikaner Misthan Bhandar
The Cake Basket,Shishodia restaurant
Raj Restaurant,Mathura Lassiwala
Tasty Bytes,Fit Food Box
Metro Dhaba,Pizza Point
Purana Odeon Wala,Tinku's Assam-Bengal Restaurant
Delhi 6,Silbatta Authetic Regional Curries
Hot & Spice,Tasty Bites
South Indian Fast Food,Caffé La Poya
Viddya Chinese Fast Food,Town Table
Ice Magic,Muradabadi Shahi Biryani & Chicken Corner
Janta Meal,Taste of Degchi
99 Chicken Corner,Chop Shop
Hot N Fresh Pizza,Desi Cook
Dev Sweets & Restaurant,Mom's Kitchen
Mansi Red Chilli,365 Day and Night
Sardar Ji Meat Corner,BIR QOR
Rama Durga,Pizza 'n' Plus
Rapchick Biryani,The Jungle Catch
Brown Town,Indoor Play Zone
SFC Soya Chaap,Pundeer Restaurant
Khalsa Dhaba,Shri Kanha Restaurant
Delhi 6 - The Chaat Bazaar,Veggie Delite
The Rock Puff,Ali Mehr
One Emperor,Just In Tiffin
Maharaja Den Grill,Desi Chull
Mehak Chicken Corner,Chinar Dhaba
Bokchoy,Kathi Rolls & Chinese Food
Drama By Ice Cafe,Aggarwal Sweets India
Food Weavers,Irfaan Qashmi Biryani Corner
Au Bon Pain,Dragon Cafe
Punjabi Dhaba,Coffee Shop
Pioneer Chicken House,Oh So Stoned!
Tamil Nadu South Corner,Dinesh Meat Wala
Yummy Tummy,Popeyes Ice Cream Rolls
Bollywood Cafe,The Taste of Chandni Chowk
Babu Soup Wala,The Chinese Point
Desi Tadka,Dosa Corner
Sangita Snacks Point,Oak Tree
Shahi Muradabadi Chicken Biryani,Angel
Classic Caterer's,Conclave
Dim Sum Delights,Hunger Bite
Tandoori Lounge,Anytime Caketime
Cake Mason,Spanish Delights
Mahendra Sweet & Family Restaurant,Mr. Foodie
Delish Bakery & Patisserie,Mehfil Dhaba
Chinese Hot Spot,Kanha Rasoi
Makhmali Kebabs,Golu Di Meat Roti
Uttarakhand Rasoi,Punjabi X's Press Dhaba
Soya Twist,Hogs & Hardy
99 Homemade,Tadka And Grill
Doodhia The Milk Man,Jugmug Thela
Delight Food,Raj Restaurant
Dosa Corner,Breaky2Dinner
Chanson Chicken,Roadhouse Cafe
Mughal-E-Zaika,Just Chinese Fast Food
Radha Ki Rasoi,Diner's Lounge
Lal Badshah,Tadka Dhaba
Dawat e Khaas,Foodies
Tandoori Planet,KSG
A One Rasoi,JMD Food Palace
New Madras Coffee House,Kulcha King
Punjabi X's Press Dhaba,Masala Veda
Veg Rasoi,Pizza Way's
Kanha Ki Rasoi,Kartik Food Court
Curry Man,AFC Family Restaurant
Little Tibet,Hungry Folks
Shree Bikaner Misthan Bhandar,Everest Chinese Fast Food
Taste of Spice,Essen Foods
Madras Coffee House,Bikaner Sweets & Snacks
Apni Rasoi,Mughal-E-Zaika
Sahel,Delhi 6
Dee Taberna,China Hot Pot
Let's Noodle,Food Expresso
Kolcata Bengali Dhaba,Gupta Ji Ki Rasoi
Akshu Chineese Hot Spot,Dessert Carte
Wild Chef House,Elma's Delivers
TimBukToo,Deep Bakery And Cake
Sultan Foods,Fresh Food Point
Punjabi Hut,Purana Odeon Wala
Game of Grillz,Apna Dhaba
Punjabi Chaap Corner,Nutritious Nation
Takamaka,Al Dani
Shiv Rasoi,Jai Shree Ram Sweets
Just In Tiffin,The Rolling Stove
Kaka's Tiffin Service,Foodies
Punjabi Vaishno Dhaba,Chili
Jurassic Ice Cream Parlour,The Food Express
Tandoori Khazana,Dujal Cafe
Online Meals,Namak Mandi
Legally Sinful Bakery,Asha Kitchen
Ice Cream Factory,My Box Meal
Spice Affair,Pandit Ji Ki Dhaba
Shreya Food Court,Sweet Magique
Bablu da Dhaba,Taste of India
Maharaja Restaurant,Ghar Ka Khana
Kake Di Rasoi,The Shakes Cabana
Brijwasi Dhaba,Khichdi Chokha
Papa's Chicken & Meat Shop,Handi Mitran Di
Kathmandu,Indian Sweets & Bakers
BS Bakery,Marwadi Khana
The Chinese & Thai Restaurant,Devika Restaurant
Kathmandu Fast Food Corner,Uttarakhand Rasoi
Al-Nawab,South Indian & Chinese Foods
Jsr Bake And Hubs,Fork & Spoon Catering
Aggarwal Sweets,Patiala Chicken Corner
CFM Eating Joint,Bukhara Food Corner
Tasty Bites,Tandoori Planet
KSG,Food Gorilla
Bake Baklava,De Bone Chicken
Think Yummy,Al Zaika
Baba Chicken Ludhiana Wale,Kathmandu
Foodie's,Asman Abee Restaurant
The Right Moo Organic Ice Cream,Malik Chicken Corner
Sardar Ji Take Away & Caterers,Variety Food Junction
Ecoz Fast Food,FC Delicious
Dharma Punjabi Dhaba 2,Stabbers
The Skullzz Cafe and Lounge,Mehak Chicken Corner
Mayur Family Point,Noor Chicken Point & Restaurant
Bhandari Dhabha & Restaurant,Kathmandu Fast Food Corner
Raju Da Dhaba,Yummy Sub
Hyderabadi Chicken Biryani,Movenpick
Fuel,Aapka Swad No. 1
Chilli & Crunch,Hide Out
Cake Spot,Mint Leaf
Breaky2Dinner,Blue Moon
Goyal Sweets,Chill
Kafle Palace,A-One Chilly Chicken
Aggarwal Sweets,Kaka's Tiffin Service
Pizza Express,Raj Fast Food & Restaurant
Maan Singh Halwai,Veeran Di Hatti
Punjabi Dhaba,Fauji Dhaba
Crunchy Street,The Chinese & Thai Restaurant
The Kebab Company,Chinese Zaika
The Pizza King,Biryani House
Potlee Biryani,Au Bon Pain
Av's Pizza,R1 Resto Bar
Metro Snacks Kiosk,Dynasty Kitchen
Zaika Chicken Corner,Hashtag Cafe & Lounge
Snacks Junction,Chinese Dragon House
Rafchick Biryani,House Of Bihar
Dhabha 27,ShackZ
Paniel Restaurant,Aangan
Sama Chicken & Mutton Corner,Basement
Loknath Sweets,The Orb - Radisson Blu Plaza Delhi
Square Cafe,Murliwala Bakers
Spicy Chicken Corner,Friends N Foods
Bansal Cake,Singh Chicken
Golden Plate,A Patisseries Gallery
S.K. Fast Food,Pahalwan Punjabi Dhaba
Aravalli Owls,Aviram's Kitchen
Cheers,Amritsari Chur Chur Naan
Khurana Fruit Icecream,Friend's Restaurant
Purani Dilli Foods,JD's Restaurant
Tamura,Paacha Foods
Kittu Chinese Food,Gulati Chicken & Snacks Shop
Raju Di Kulfi,Dilli Bakery
Tikka Shikka,Mohit Bakery
Bawarchi,Street Wala Food
Kanak Restaurant,Just Ice
Shree Jee Eating Point,Red Hut
Lily Tasty Fast Food,Hunger Point
Shree Annapurna,Clubex9 Restaurant
Mehtab Restaurant,Purely Foodie
Shree laxmi Dosa Corner,The Punjabi Swad
Turning Point Fast Food,Wonton Cafe
Cafe Honey - Dia Park Premier,Annapurna Restaurant
Yummy Chinese Food,Midnight Foodinn
Kathi Junction,Vegetarian goodness
The Punjabi Swad,Bansal Cake
Al-Aayat Mughai Biryani,Ratna Restaurant
Mint Leaf,Food Fun Corner
Arjun Punjabi Vaishno Dhaba,Aggarwal Sweets
Quick Munchies,Dev Restaurant
V. K. Pasta,Apni Rasoi
Hey Sugar,DBDN Meat Shop
Omkar Foods,Tasty Food
Zabardast Zaika,Gogi Da Punjabi Tadka
Chinese Food Corner,Tasty Tadka
Hidden Chef,Fluffie Candie
Bengali Restaurant,Shakti Sagar
Pizza Hub,Fish Point
Ganga Food Factory,Classic Cuisine Restaurant
Hot Pot Snacks,Bengali Restaurant
Vohra Bhojnalaya & Fast Food,Preechen
Yadav Sweets Corner & Paneer Point,The Backyard Chef
Delhi Chicken Hut,Chachu Dosa Wala
Lasha Chinese Food,Chatore
Hot Grubs,Aangan Mitran Da
Hind Bakery & Chinese Fast Food,Best Biryaniwala
11 To 11 Pizza Corner,Cafe Royal Habits
MK Kulfi & Ice Cream,Shudh Maharani Vaishno Dhaba
Saini Sweets,The Butler & The Chef - Jaypee Greens
Chilli Chinese,Tandoori Nature
Mona Ice Cream Parlour,Chinese Food Corner
Asia Seven Express,Sach Foods
Iqbal's Mughal Cuisine,Dheeraj Chicken Point
Bareekio Grill,Chinese Corner
Halal Pizza Star,The China White Fast Food
Kona Kona,Crispy Bun
Shri Bala Ji South Indian Food,Panas Chinese Fast Food
Love Desserts,Just Veg
Meat Craft,Bruncheez
Alwar Sweets & Snacks,B Two
Invitation Foodex,Game of Grillz
Eat Street,A One Tea & Snacks
Flavours Kitchen,Moji Dhaba
Middle East Cuisine,Apni Rasoi
Letz Roll,Delhi-eez Food Plaza
Annapurna Restaurant,Ashirwad Restaurant
Go South,Aapka Swad No. 1
Gulati Punjabi Swad,Always Eat Green
Delicious Fast Food,Just Yumm Food Junction
Biryani Express,Sharma Bhojnalaya
PSW ka Dhaba,The Zaika
Saini Veg Rasoi,SKC
The Boffers,Mahadev Bakery
Sai Dhaba,Pandit Ji Ke Special Chole Bhatoore
UK Rasoi,Gravys n Currys
Salaam,Welcome To China Express
Bigbee,Muradabadi and Hydrabadi Shahi Chicken Biryani
A-One Chicken Corner,Chicken 'N' More
Tulsi Chinese Food,Shudh Punjabi Khana
ChocoLite,Curzon - The Royal Bar
Chinese Chop Stick,Pahal Singh Fast Food Corner
Khanabdosh,Just Hot & Chill
Health Table,Lazeez Zaika
Mezbaan,Aggarwal Pavitra Bhojanalaya
Maa Ka Khaana,Afghan Indian
Cafe Point,My Granny's Kitchen
Nuway,Student Corner
Aladeen,Sunny Restaurant & Tiffin
Chappan Bhog,Dhabha 27
Gogi Da Punjabi Tadka,Kuki __ Dhaba
U.P. Al-Flah Restaurant,Mutton Adda
Aapka Mangal Restaurant,Gurgaon Spice
Yummy Sub,Patiala
Aqua Spirit,Nehra's Food Point
Food Junction,Restran
Kolkata Biriyani On Call,Khush Dil
Thapa Chinese Fast Food,Classic Diplomat Rest'o'bar
Bacchuu Ram,Raja Dhaba
Vakhra Swag Restaurant,Food On Wheel
Break Fast Junction,Buzybee
Weird Time Food,Special Tea Point
SK Dhaba,The Dwarka Food Junction
Bengal Sweets,Vijay Snacks Corner
Prem Ji Delhi Wale,The Meetha Shop
Chicken Biryani Centre,Flavours Of London
Taste of India,Lazzat Moradabadi Chicken Biryani
Apna Corner,Bidyut Waang Restaurant
One Indus Girlz Eatery,Laziz Chinese Fast Food
Vadilal,Yummy Tummy
Apni Rasoi,Artusi
What's More,Fresh Tiffin Express
Gujarat Chicken,Alok Dhaba
Toast Of Life,LolChef
Punjabi Rasoi,Bukhara Curry's
Food Hut,Alakhnanda Reataurant
East 'n' Bakers,JHM Pizza Cafe
Apni Rasoi,South Food Corner
Vrindavan Restaurant,Chinese Zayka
Shyam Sweets & Caterers,PiccoLicko
Bhardwaj Eating Corner,Sunil Punjabi Dhaba
Muradabadi & Hyderabadi Chicken Biryani,Daily Belly
Chai Adda,Food Junction
Desi Chulha,Cafe Point
Airborne,Mr. Foodie Express
Awadh Celebration,Trymyfoods
Cafe Tansen,Cafe Heroes
The Culinary Pitaara,Edf Pizza World
Karol Bagh Ke Chhole Bhature,Shahi Muradabadi
Roll In,Cake Time
A Patisseries Gallery,Taj Street
The Food Factory,Foodie Junction
Rapture's Starvy,Venus Food Plaza
Delight Express,Illusion - Clark's Inn
Sufiyan Restaurant,Sunrise Foods
Raju Shudh Vaishno Dhaba,Aurangzeb
New Cafe,Ashok Dhaba
Cocoalicious Delights,Shakun Flavourez
Kisna Sweets & Part Place,Pizza House
Khanna Dhaba,Al Tikka
DC Famous,MK Kulfi & Ice Cream
Dev Restaurant,UMA SIP & SNACKS
Dhadadhad Food Delivery,Spicy n Tasty
Guru Vada Pav No.1,Prem Chinese Fast Food
Silbatta Authetic Regional Curries,MKS Master Chef Rasoi
Dosa Express,Fusion Cafe
Khana Khazana,Spiral Food
Momozone,Punjabi Tadka
Chatkara,The Daily
Puspa Chinese Fast Food,Eighty Seven Foodies
Shri Shyam Rasoi,Sardaar Ji Ka Hotel
The Secret Cafe,Rama Fast Food
Biryani Wale,Spicy grillz
Indian Sweets & Baker,Vats Fast Food Corner
Shree Bhojnalaya,Pizza Hub
A-One Chicken Biryani & Chicken Korma,Cafe 11th hour
Dilli Bakery,Shri Sai Rasoi
Affamato,Vasant Food Valley
Madan's Kitchen,Baba Ji Caterers
Variety Food Junction,Desi Chulha
Viceroy Bar - Hotel Classic Diplomat,Al Kareem Chicken Corner
The Chinese Food,The Pizza Bite
Dujal Cafe,Chickenette
Al Lateef,Tava & Tandoor
Burger Factory,A Patisseries Gallery
Muradabadi and Hydrabadi Shahi Chicken Biryani,Big B Pastry Shop
Celebells,Kolkata Biriyani On Call
Dulce Carro,Metro Snacks Kiosk
Vaango,Annapurna Restaurant
The Magic Oven,Jai Ma Shudh Vaishno Bhojnalaya
Street Cafe,Welcome Fast Food & Parantha
Shiv Vaishno Rasoi,Rolling Beans
Hot N Spicy Chinese Fast Food,Maple Rasoi
Chinese Food N Beverages,Ram G Samose wala
Eats & Treats,Breakfast - Home Delivery
Friends Food Corner,Guru Om Vanna
Aggarwal Sweets & Restaurants,The Roll Point
Majeed's,Fresh Food
13 Cafe,Ching China
Singh Tawa Chicken,Cafe' 37
Miglani Vaishno Dhaba,The Famous Momos
Tasty Tadka,The Crunchy Burger
Gupta Bhojnalya,New Pishori Chicken Kabab
South Indian Swaad,Vista Bakery
Cake Xpress,Spicy Chilly Chatkara
Pahalwan Punjabi Dhaba,The Food Factory
Classy Cafe Salon,Hot & Sweet
Ashiyan Foods,Space Food
Bikaner Mithaivala,Delhi-99
Chinese Corner,The garden bakery & cafe
The Tandoor,Chilll House Kafe
Pakwaan,Cafe By The Way
Mahak Biryani,Hot N Fresh Pizza
Blenders,Umda-Lazeez
Riyaz Chicken Corner,Al Noor Foods Corner
Batra Chinese Food,South Indian Dosa Corner
Big Bin Restaurant,Sonu Restaurant
Mughlai Safari,Repause Cafe & Lounge
Aggarwal Sweets,Tasty Bytes
Food Passengers,Khushi Restaurant
Fresh Tiffin Express,Spice of Punjab
Cool Point Shahi Tukda,Ice Magic
Asia,Aggarwal Sweet Corner
The Daily,Unique Tasty Bites Shop
Bake Cuddle,The Taste of Tandoor
Angaar,Annapurna Dhaba
Fuel Diet Cafe,The Crazy Hawkers
Banjara Kabab,Kwality
Chow Story,Pizza Express
Shree Shyam Sweets & Restaurant,Aladeen
Chip Chop,Jurassic Ice Cream Parlour
Chef Brothers,Shri Krishna Dhaba
Mela Restaurant,Ram Pal Dhaba
Shahi Angeethi,Sharma Sweets
Chinese Hot,Dream Land
Bikaner Sweets & Snacks,Wah Ji Wah
Hungry Folks,Tirath Sweets
Aggarwal Sweets,Baba Albela Foods & Kathi Rolls
Akash Chinese Fast Food Corner,The Vanilla Bean
Aggarwal Sweet & Bakers,Holistic Food Centre
Bablu Chinese Food,Kitchen Xpress
Om Restaurant,Thapa Chinese Fast Food
Deliverywala,Chicken King
Hyderabadi Chicken Corner,Madras Coffee House
Chinese Food Corner,New Shahi Chinese
Dosa Hut,Saini Sweet Corner
Quick Yum,Wakaba Cafe
Manish Bakery,Moradabadi Chicken Biryani
Bikaner Food Mart,Jaiswal Fast Food & Sweet
Shri Bala Ji Restaurant,Janta Meal
Chicken 'N' More,Amritsari Chaap & Snacks
Sweet Sensations,Menakha's
Kavya Vyanjan,Aggarwal Sweets
Ku-Kukdu-Ku,Deepak Sweets & Restaurants
Prem Chinese Fast Food,Roll Up
K. B. Eating Point,Arjun Punjabi Vaishno Dhaba
Sharma Sweets,Al-Aayat Mughai Biryani
Mehfil Dhaba,Prem Rasoi
Snackchat,Pakeeza Restaurants
Anna Ki Rasoi,Bablu da Dhaba
Dinar Restaurant,Royal Chicken Corner
Kaffa Cerrado,Mother Kitchen
Parantha Corner,Rockin' Rolls
Crazy China Express,Flavour Of Uttrakhand
Sharma Bhojnalaya,Rocket Food
Right for Night,Delight Express
Hari The Cake Shop,Spicy Green Chilly
Dosa and Pizza Corner,Chinese Junction
Food Point,Starco Junction
Spicy Curry,Touch of Spice
Shahi Muradabadi & Hyderabadi,Food4U!
Aangan Mitran Da,Singh Tawa Chicken
Roll Hub,New Royal Blue Dhaba
Tasty Corn,Brother's Bakery
3 Bros' Kitchen,Daily Fresh Food Box
China Town,Pishori Chicken & Kabab
Punjabi Dhaba,Capital Hotel
Standard Ice Cream Faluda,Habibi Express
Foodie Xpress,Bhavna Food Corner
Chap Corner,The Valentine Restaurant
Amritsari Zaika,Mom's Magic Cafe
Taste of Delhi,Barbeque Xpress
Milan Apna Dhaba,Amritsari Kulcha Junction
Choc Wok - The Chocolate Hub,A-One
Dahiram Chatora Chokra,Chowringhee Special 43
The Chaat Street,Jammu Ke Mashoor Naan
The China White Fast Food,The Wok
Nani Ki Rasoi,Food Hut
3 And A Half Food Truck,Absolute Desi Food
Riyaz Biryani Corner,Al Kadeer Chicken Corner
Tandoori Knock Outs,Balaji Hotel
Chachu Dosa Wala,Jai Shree Janta Dhaba
Bikaner Sweets & Restaurant,Toast Of Life
Spicy grillz,Chawla's Corner
Uttarakhand Eating Point,Friends Restaurant & Catters
Mughlai Express,Ram Ji Food Corner
Chacha Da Hotel,Foodie Xpress
Food4U!,Lalkot Bawarchi
Ghar Ka Khana,Simply Ghar Ka
Chocolate Fundoo,Maheshwari's Food
Kolkatta Spl Kathi Rolls,Teedo's Cake Inn
Sangeeta Dhaba,Lite Bites
Hotel South India,Bake Cuddle
Gupta's Vegetarian Paradise,Wah Wah Ji Chaap
Vijay Snacks Corner,Bhatia's Food
Aviram's Kitchen,Sam's 22
Tinku's Assam-Bengal Restaurant,Food4U
Jiffies Snacks,Pizza Station
Somang House Restaurant,Just Mirche Restaurant
Spice of Punjab,King's Food
Shankar Sweets,Toasted Oats
Apna Dhaba,Matthi Wala
Kitchen Xpress,Glory's
Desi Cafe,Food Cafe
The Regal Chicken Corner,Dosa Hut
Sadabahar Shudh Vaishno Bhojnalaya,Nawab Sahab Kathi Kabab
Delhi 6,Ek Patta Chaat Ka
Afghan Indian,Thakur Ji Chinese Food
Manish Chicken Corner,Chauhan Hotel
Punjabi Dhaba,Miglani Vaishno Dhaba
Dilli Zaika Foods,Lily Food's
Patiala Chicken Corner,King's Choice
Hot Meals,Chaska
Kwality Wall's Swirl's,Pizza Street
Sandwiches 'N' More,Welcome Sweet Corner
Chauhan Hotel,Seoul Kitchen
Edf Pizza World,Chang Fast Food
New Shamiana Chicken Corner,De Paris Bakers
Lhasa Manthang Restaurant,Manokamma Chinese Fast Food
Mahi Rasoi,Deep Vaishno Dhaba
Shiva Kachori,Bhagat Ji Sweets
Chaudhary Dhaba,Quick Grab
Prince Ki Special - Multani Moth Kachori,New Vaishno Dhaba
Tasty Food,Aggarwal's Bikaner Mishthan Bhandar
Blue Moon,Gaurav Bhojanalaya Restaurant
Chick Snacks Corner,Metro Dhaba
The Yolmo Kitchen,King's of Taste
The Mulberry Retreat,AR Fast Food
Shama Biryani House,Pizza & Burgers
Raju Ice Cream Parlor,Kitchen Key Restaurant
JMD Food Palace,Kathi House
China House,Finale
Da Pizza Club,Cherry Berry
Bikaner Mishthan Bhandar,Om Dhaba
Indo Traditional Kulfi,Cafe Cue Lounge
Red Hut,Shah Ji Di Hatti
Chocohut,Soni Sweets
Oberoi's Pure Meat Shop,Red Chilli Dosa Corner
Rock & Taste Food Point,Night Express
Aggarwal Sweet India,Puja Sandwich House
Gelato Italiano,Krishna Chinese Food
Shiva Caterers,S K Sweets
The Maggi Junction,Pure Veg Station
Mitra Da Dhabha,Aapka Mangal Restaurant
Jihva -The Nanee Suits,China Wok
Sip N Snax,Deem Seem
Welcome Fast Food & Parantha,Delhi 6 - The Chaat Bazaar
Quick Grab,Brother's Chicken Corner
Manorma,Moti Dhaba
Food Plaza,Saini Sweets
Purely Foodie,Chinese Food Corner
The Foodie Junction,SFC Snacks & Food Corner
Chai 'n' Shakes,Tasty Food
The Health Cafe,Fourteen Eleven Tea Cafe
Jyoti Sweets,Dilli Zaika Foods
Pure Veg Station,Uttrakhand Dhaba
Indian Saffron Co.,Aha Bites
Urban Bhoj,Saffron Restaurant
D Food,Hind Bakery & Chinese Fast Food
Tava & Tandoor,Pandit Dhaba
Om Baker,New Chinese Food Corner
Kusum's Kitchen,Kake Di Rasoi
Spicy Affair,Punjabiya Di Chaap
Mamta Tiffin Service,Dilip Momos
Burger Cafe,Ahaar Udyan
Gohana Famous Jalebi,DS Mini Kitchen
The 99 Menu,Food En Vouge
A Patisseries Gallery,Aravali Owls
7 Colours Xpress Kitchen,Dosa House
EDC Mania,Desi Chinese
S.R. Bakers,Burger Joint
Mahakali Food Corner,Kitchen Khurana
Cake Time,New Punjabi Rasoi
Laxmi Dhaba,Goels Snack Hut
Mohamad Awaan Shahi Biryani,Om Bikaner Sweets
Desi Chimney,Mickey's Kitchen
Ratna Restaurant,Kwality Walls - Happiness Station
Handi Kitchen,Amritsari Zaika
Repause Cafe & Lounge,Deepak's Restaurant
Foodies,Tamil Nadu South Corner
Asman Abee Restaurant,Yadav Hotel
Vegetarian goodness,Food Cravings
Maya Prabhu Ki RK Vegetarian Food,Shivam Dhaba
Shama Moradabadi Chicken Biryani,Eating Point Rasoi
China Hot Pot,The Chicken Chop
Anaya Chicken Corner,The Street Kitchen
Delicious Planet,The Taste of China
Hot & Healthy,Mr. Hot & Spicy
Muradabadi Shahi Biryani,Sun Brunch
Chinese Dragon House,Multani Kake Di Kulfi
The Tandoori Village,Kwality Walls Swirls
Pizza Station,Le Kitchen Cafe Rooftop Restaurant
Crazy Hut,Rasoi 'N' Rolls
Uncle Food Hut,The Kingcock
Fry Centre,Crazy Hut
Hippie By Nature,The Deshi Bites
Korma Mubaarak,Chinese Food & Snacks
Shruti Pastry Point,Delicious Planet
Essen Foods,Aggarwal Sweets
Platters,Janta Meals
New Vaishno Dhaba,Delhi Chicken Hut
The Last Mughal,Chip Chop
Daily Belly,Ok Indian & Chinese Food Corner
Shaivi's Kitchen,Chak De
Baketown By Gagan Bakers,New Frontier Namkeen House
Chinese Anna,Cafe Hideout
Shane E Dilli Chicken Point,The Emblem Restaurant
Himalayan Restaurant,Shree Jee Eating Point
Krispy Kitchen,Food Station
Lotes Bakes,DZI House
Special Chicken Biryani,Rawat Bhojanalaya
Dolce Gelato,Live Kitchen H
Kathi Roll Corner,Food Gallery
Indo Chinese Fast Food Corner,Yummy Tummy
A One Tea & Snacks,Desi Chimney
Pawan Foods,Beyond Food
Chinese Food & Snacks,Chocohut
Friends N Foods,Piyu Fast Food
Food Point,Delicious Morning
Sach Foods,Chinese Food Corner
Shama Chicken Corner,Fiery Grills
Apni Lazeez Handi,Call For Cuisine
The Kingcock,Cuts & Curries
Chinese Indian Food Point,Kandle 999
Bukhara Food Corner,Chatore
Rai Ji Caterers,Tikka Shikka
Just Hot & Chill,Shudh Vaishno Dhaba
Sher-e-Punjab,Rao Chinese Hut
Yes Pizza's,Mitra Da Dhaba
Midnight Sheesha Reloaded,Madan Sweets & Bakers
New Shahi Chinese Fast Food,Quick Yum
Deem Seem,Food Street
Street Food Partner,Roy's Food Corner
Saanjhi Rasoi,Angaar
Lazzat Moradabadi Chicken Biryani,Punjabi Dhaba
Herb & Spice,Anupama Sweets & Restaurant
Somethings Sweet,Chand Chicken Corner
Tirath Sweets,New Madras Cafe
Tau Ji Chicken Corner,Asli Alam Muradabadi Chicken Biryani
Kake Di Chap,China Town
Hukam,New Shamiana Chicken Corner
Rocket Food,Korma Mubaraak
Kirti Food Plaza,Raju Ice Cream Parlor
Bottoms Up,Think Yummy
Swami South Indian,Desi Spice
Lucky Baba Dhaba,Bokchoy
Spice Treat,Spicy Treat
Divesh Parantha,Bikaner Mishthan Bhandar
Colonel's Kebabs & Curries,Saim Pastry Shop
Saim Pastry Shop,Waikiki
Chak De!,Chinese Tadka
The Chicken Chop,Hyderabadi Chicken Biryani
"Satyam Juice, Shake, & Food",Shudh Amritsari Naan
SFC Snacks & Food Corner,Punjabi Dhaba
Seoul Kitchen,Vicky Chinese Corner
Kedgy Bite,Dilkhush Punjabi Dhaba
Ali Mehr,Kukkoo Bhature wala
Everest Momos,Natural Hot & Spicy
Deepanshu & Ayush Chinese Food Court,Popcorn Fusion
Devgeet,Shama Chicken Corner
Pokhara Restaurant,Schezwan Bakery
KC Bakery,Health Table
City Dhaba,TCW Chaat Point
Bala Ji Sweets Corner,Mutton Corner
Playboy Cafe,Zaika Hindustan
Origin Food Court,Hahn's Kitchen
Korma Mubaraak,Sugandh Chai Bar
Mutton Adda,Somethings Sweet
China Delight,Annapurna Bhandar
Kartik Food Court,Flavour House Mafia
Bhagat Ji Sweets,Maya Prabhu Ki RK Vegetarian Food
Farhan Chicken Corner,SK Dhaba
Yummy Mughlai Bites,Sholty Restaurant
Street Cafe,Bajaj Vaishno Dhaba
Prempal Dhaba,Mani's Cafe
Night Express,Vaishno Bhojanalya
Shree Ram Poori Wale,Mamta Tiffin Service
Ni'c Natural Ice Creams,CHD Restaurant
Pizza Crunch,Burger Point
Stuffed Kathi Roll,Burger Cafe
Momos Hi Momos,Aggarwal Fast Food Corner
Satyam Bhojnalaya,Oven Aroma
Zaika's Shawrama Roll Corner,Raman Pizza Zone
Finale,Omkar Foods
Food Hub,Pakiza Muradabadi
Welcome to Darjeeling Kitchen,Foodie's
Subras Eat Veg,Kolkata Kathi Roll
Gaurav Bhojanalaya Restaurant,Snacks Point
Teekhi Biryani,Dilli 51 Cafe
Bikaner Sweets & Snacks,Anthony's Kitchen
Shahi Hyderbadi Biryani,Jannat Bar & Restaurant
Deepak Sweets & Restaurants,Tiwari Samosa King
Baba Food,It's ChaaTime!
Lets Dim Sum,The Chinese Food
SPL Foods Plaza,Indian Food Corner
The Grand Kitchen,Sonia Sweets & Restaurant
AFC Family Restaurant,Momozone
Kylin Express,Delicious Fast Food
Tadka Dhaba,Vicky Chicken Corner
TGI Friday's,Rohit Chinese Food
Wah Wah Ji Chaap,South Indian Restaurant
Aggarwal Sweet Corner,Apni Rasoi
Bobby Tiffin Service & Caterers,Babu Soup Wala
Kolkatta Famous Kati Roll,NIK's Chicken Corner
Dream Land,Eat 'n' Treat
Parantha's Special,Haji Irshad Biryani Centre
Aahar Meat and Chicken Shop,Johniee's Kitchen
Arjun Restaurant,Gohana Famous Jalebi
The Vanilla Bean,Sangita Snacks Point
The Emblem Restaurant,Tulsi Chinese Food
Tejas Cake Palace,Premier Bite
Chuichow Town,The 99 Menu
Delicious Morning,Chocolate Fundoo
34 Park Street Lane,Digpal Brother's Chick Chop Meat Shop
Om Bikaner Misthan Bhandar,Cafe
Sun Brunch,Pepper Z
Desi Brunch,Akshu Chineese Hot Spot
Navratnam Café & More,Swaad Restaurant
JD's Restaurant,VP ki Kitchen
Profit Kitchen,Kisna Sweets & Part Place
Protein Power,Hey Sugar
Maa Di Hatti,Anisha Restaurant
Parvesh Juice and Shakes,Dharma Punjabi Dhaba 2
Tasty Food,Paramount Retreat
Banaaras,Punjabi Tadka
Sity Wok,Jeete ki Kadayi
Kitchen Klub Bar Restaurant,Olive Grooves
