State Name,Market Name,Group,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,1000,525,28-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,1000,950,29-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,1000,500,30-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,425,1000,938,31-Dec-05
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,1000,950,02-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,1000,800,03-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,1000,950,04-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,1000,800,05-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1000,450,06-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,1000,450,07-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,1000,438,09-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,1000,938,10-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,413,1000,500,11-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,1000,500,13-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,450,1000,500,14-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,450,1000,938,16-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,450,1000,750,17-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,1000,650,18-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,450,1000,750,19-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,450,1000,750,20-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,450,1000,750,21-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,463,1000,750,23-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,406,1000,975,24-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,406,1000,463,25-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,1000,750,27-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,1000,725,28-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,938,875,30-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,938,469,31-Jan-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,938,463,01-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,938,463,02-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,938,675,04-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,938,450,06-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,938,450,07-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,938,450,08-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,938,650,09-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,938,650,10-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,938,438,11-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,938,450,13-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,938,488,16-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,225,938,550,17-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,938,450,18-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,413,950,715,25-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,975,700,27-Feb-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,975,700,01-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,422,975,500,02-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,433,875,525,03-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,531,04-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,538,06-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,538,07-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,625,08-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,625,09-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,531,10-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,531,11-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,433,813,781,14-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,444,813,544,16-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,444,813,472,17-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,544,18-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,544,20-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,544,21-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,544,22-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,813,544,23-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,425,875,531,24-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,431,875,538,25-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,406,875,538,27-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,406,875,538,28-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,875,563,29-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,406,875,563,30-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,406,875,563,31-Mar-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,875,550,01-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,875,550,03-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,875,544,04-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,400,875,413,05-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,388,875,538,06-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,275,875,538,07-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,850,531,08-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,588,550,10-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,875,563,11-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,588,400,13-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,588,400,14-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,588,400,15-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,375,575,550,17-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,638,450,18-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,625,456,19-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,638,531,20-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,425,638,500,21-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,425,638,500,22-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,625,588,24-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,938,588,25-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,475,938,513,26-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,450,938,588,27-Apr-06
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,438,938,675,28-Apr-06
